Name,Strasse,Strasse_no_space,PlZ,Ort,Tel,E-Mail,Webseite
Kuster Matthias,Sonnhalde 4,Sonnhalde4,2555,Brügg BE,* 032 373 64 31,,
Läng Trudy,Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,032 355 20 12,,
Lanz Reinhard und Katharina (-Hofer),Grünweg 2,Grünweg2,2555,Brügg BE,* 032 372 70 84,,
Latifi Fatmir,Bielstrasse 32,Bielstrasse32,2555,Brügg BE,* 032 373 13 89,,
Laubscher Patrick,Bahnhofstrasse 2,Bahnhofstrasse2,2555,Brügg BE,* 032 372 18 70,,
Laubscher Ritz Claudia,Mattenstrasse 18,Mattenstrasse18,2555,Brügg BE,* 032 372 74 43,,
Ledermann Margrit,Kreuzgasse 21,Kreuzgasse21,2555,Brügg BE,032 373 32 28,,
Lehmann Sadrach,Orpundstrasse 9,Orpundstrasse9,2555,Brügg BE,* 032 373 11 18,,
Leiser Andreas,Orpundstrasse 28,Orpundstrasse28,2555,Brügg BE,* 079 333 42 55,,
Leiser Beatrix (-Leiser),Orpundstrasse 22b,Orpundstrasse22b,2555,Brügg BE,032 373 52 51,,
Leiser Dora,Hauptstrasse 8,Hauptstrasse8,2555,Brügg BE,* 032 373 17 66,,
Leiser Walter (-Rueedj),Burgersriedstrasse 12,Burgersriedstrasse12,2555,Brügg BE,032 373 47 25,,
Leon Hoya Encarnacion,Bielstrasse 32,Bielstrasse32,2555,Brügg BE,* 032 372 21 85,,
Lerch Erich,Guinandstrasse 6,Guinandstrasse6,2555,Brügg BE,* 032 384 47 44,,
Lerch Fritz u. Emmi (-Berger),Bielstrasse 80,Bielstrasse80,2555,Brügg BE,* 032 373 16 73,,
Lerch Martin,Bielstrasse 80,Bielstrasse80,2555,Brügg BE,* 044 586 81 63,,
Leu Franziska,Haldenstrasse 18,Haldenstrasse18,2555,Brügg BE,032 373 19 94,,
Leuenberger Hugo,Brachmattstrasse 12,Brachmattstrasse12,2555,Brügg BE,* 032 373 60 54,,
Leuenberger Lotti,Prateiweg 1,Prateiweg1,2555,Brügg BE,032 355 16 45,,
Leung Wai Lin,Bielstrasse 65B,Bielstrasse65B,2555,Brügg BE,032 373 41 55,,
Dr. phil. Ley Katharina,Rosenweg 17,Rosenweg17,2555,Brügg BE,* 031 371 85 94,,
Liechti Daniel (-Zürcher),Waldeckstrasse 8a,Waldeckstrasse8a,2555,Brügg BE,032 373 28 85,,
Likongo Sama Eugenie Mwika und de Rosen Anne,Brachmattstrasse 3,Brachmattstrasse3,2555,Brügg BE,* 032 372 16 37,eugeniesama.likongo@bluewin.ch,
Linder Alfred,Orpundstrasse 19,Orpundstrasse19,2555,Brügg BE,032 373 40 30,,
Linder Peter,Orpundstrasse 28,Orpundstrasse28,2555,Brügg BE,* 032 373 25 87,,
Linder Peter u. Lydia,Burgersriedstrasse 15A,Burgersriedstrasse15A,2555,Brügg BE,032 373 16 29,,
Linder Ruth,Brachmattstrasse 4,Brachmattstrasse4,2555,Brügg BE,032 373 23 27,,
Linder Samuel,Orpundstrasse 22,Orpundstrasse22,2555,Brügg BE,* 079 903 77 75,samuel.linder@gmx.ch,
Lips Marcel,Bielstrasse 78a,Bielstrasse78a,2555,Brügg BE,032 373 29 45,,
Loacker Harald und Barbara (-Schudel),Guinandstrasse 10,Guinandstrasse10,2555,Brügg BE,* 032 373 60 50,,
Lobsiger Alfred,Industriestrasse 4,Industriestrasse4,2555,Brügg BE,032 373 46 13,,
Lobsiger Heidi (-Burkhard),Brachmattstrasse 4,Brachmattstrasse4,2555,Brügg BE,032 373 28 30,,
Lobsiger Renata (-Boegli),Obergasse 22,Obergasse22,2555,Brügg BE,* 032 373 26 51,,
Lobsiger René,Neubrückstrasse 21,Neubrückstrasse21,2555,Brügg BE,* 079 209 33 70,,
Lobsiger Sacha und Doris (-Marbot),Obergasse 22,Obergasse22,2555,Brügg BE,* 032 372 13 08,,
Lobsiger Seline,Neubrückstrasse 22,Neubrückstrasse22,2555,Brügg BE,032 373 23 49,,
Locher Freya,Hauptstrasse 8,Hauptstrasse8,2555,Brügg BE,* 062 844 22 31,,
Loeffel Jean et Marlise (-De Jonckheere),Haldenstrasse 20a,Haldenstrasse20a,2555,Brügg BE,* 032 373 49 91,,
Löffel Daniel (-Gosteli),Rosenweg 21,Rosenweg21,2555,Brügg BE,032 373 17 42,,
Löffel Heinz u. Edith (-König),Burgersriedstrasse 15B,Burgersriedstrasse15B,2555,Brügg BE,* 032 373 15 85,,
Löffel Kurt,Sonnhalde 1,Sonnhalde1,2555,Brügg BE,032 373 15 15,,
Löffel Martin (-Jost),Pfeideck 15,Pfeideck15,2555,Brügg BE,032 373 19 87,,
Loosli Daniel,Pfeidstrasse 18,Pfeidstrasse18,2555,Brügg BE,* 032 341 95 06,,
Loosli Verena (-Lanz),Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,032 373 23 94,,
Lörtscher Elvira,Orpundstrasse 3,Orpundstrasse3,2555,Brügg BE,* 032 365 28 40,,
Lötscher Denis und Renate (-Salomon),Mettgasse 12,Mettgasse12,2555,Brügg BE,* 032 373 48 33,denisloetscher@bluewin.ch,
Lourenco de Brito Jorge et Lurdes,Guinandstrasse 16,Guinandstrasse16,2555,Brügg BE,032 341 53 86,,
Lüdi Franz (-Herzog),Eschenweg 12,Eschenweg12,2555,Brügg BE,* 032 373 54 55,,
Ludi Susanne (-Humbel),Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,032 377 15 91,,
Luginbühl Brigitte u. Heinz (-Böhme),Haldenstrasse 20A,Haldenstrasse20A,2555,Brügg BE,* 032 373 39 88,,
Luperto Marinella,Pfeidstrasse 20,Pfeidstrasse20,2555,Brügg BE,* 078 907 44 50,,
Lüscher Julia,Erlenstrasse 10,Erlenstrasse10,2555,Brügg BE,* 032 373 25 42,,
Lüthi Klara (-Sturzenegger),Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,032 341 86 33,,
Macrina Pantaleone,Erlenstrasse 5,Erlenstrasse5,2555,Brügg BE,032 373 29 67,,
Mäder Markus,Neubrückstrasse 23,Neubrückstrasse23,2555,Brügg BE,* 032 372 72 10,,
Mader Sibylle,Rainstrasse 21A,Rainstrasse21A,2555,Brügg BE,032 322 36 30,,
Maffei Karin (-Staudenmann),Neubrückstrasse 25,Neubrückstrasse25,2555,Brügg BE,032 373 52 46,,
Maggio Orazio und Hanna,Mettgasse 10,Mettgasse10,2555,Brügg BE,032 373 44 79,,
Mahsow Kathrin,Neubrückstrasse 18,Neubrückstrasse18,2555,Brügg BE,032 372 76 09,,
Maleszewski Bogdan und Marta,Hauptstrasse 12A,Hauptstrasse12A,2555,Brügg BE,* 032 342 23 53,,
Manca Luciano und Vittoria,Pfeidstrasse 20,Pfeidstrasse20,2555,Brügg BE,* 032 373 30 81,,
Manser Baldinger Marcel und Silvia,Bielstrasse 56,Bielstrasse56,2555,Brügg BE,* 032 372 77 79,,
Marolf Hans,Dahlienweg 4,Dahlienweg4,2555,Brügg BE,* 079 202 75 72,,
Marolf Heidi,Erlenstrasse 1,Erlenstrasse1,2555,Brügg BE,032 373 41 59,,
Marolf Heinrich und Ginette (-Peiry),Rainstrasse 17,Rainstrasse17,2555,Brügg BE,* 032 365 55 22,h.marolf@bluewin.ch,
Marti Alfred u. Xaveria (-Schmid),Rainstrasse 30C,Rainstrasse30C,2555,Brügg BE,* 031 721 62 24,,
Marti Alice,Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,032 373 15 13,,
Marti Andreas u. Maria (-Kellenberger),Rebhalde 20,Rebhalde20,2555,Brügg BE,* 032 373 36 48,,
Dr. med. Marti Anna Maria,Aarestrasse 4,Aarestrasse4,2555,Brügg BE,* 032 373 28 66,,
Marti Verena (-Feldmann),Rainstrasse 3,Rainstrasse3,2555,Brügg BE,* 031 721 38 60,,
Mathez Ginette,Orpundstrasse 30a,Orpundstrasse30a,2555,Brügg BE,* 032 341 31 53,,
Mathys Christoph,Pfeideck 8,Pfeideck8,2555,Brügg BE,032 373 40 01,,
Mathys Daniel (-Schwab),Eschenweg 3A,Eschenweg3A,2555,Brügg BE,* 032 373 37 58,,
Mathys Hansruedi,Pfeideck 8,Pfeideck8,2555,Brügg BE,* 032 373 30 75,,
Mathys Hermann (-Leiser),Aarestrasse 13,Aarestrasse13,2555,Brügg BE,032 373 25 67,,
Mathys Karin,Obergasse 18,Obergasse18,2555,Brügg BE,* 032 365 12 03,,
Mathys Ursula,Neubrückstrasse 15,Neubrückstrasse15,2555,Brügg BE,* 032 373 12 36,,
Matthey Marthe (-Haldimann),Rosenweg 7,Rosenweg7,2555,Brügg BE,032 373 25 77,,
Matti-Bieri Peter und Eveline,Pfeideck 9,Pfeideck9,2555,Brügg BE,* 032 355 22 54,,
Mätzener Ursula und Peter,Rainpark 16,Rainpark16,2555,Brügg BE,* 032 373 40 81,,
Maurer Erna,Friedhofweg 7,Friedhofweg7,2555,Brügg BE,032 373 19 73,,
Maurer Françoise,Bärletweg 3,Bärletweg3,2555,Brügg BE,* 078 763 18 92,,
Mawete Tsasa Benjamin,Erlenstrasse 4,Erlenstrasse4,2555,Brügg BE,* 078 821 34 44,,
Meer Hermann (-Rüegg),Bielstrasse 10,Bielstrasse10,2555,Brügg BE,* 032 372 14 05,,
Meier Beat,Ländteweg 13,Ländteweg13,2555,Brügg BE,032 373 48 35,,
Meier Franco,Erlenstrasse 2,Erlenstrasse2,2555,Brügg BE,032 373 50 81,,
Meier Laurent,Rosenweg 10,Rosenweg10,2555,Brügg BE,* 032 372 76 10,meier.l@gmx.ch,
Meier Urs,Hauptstrasse 20,Hauptstrasse20,2555,Brügg BE,* 032 373 12 44,,
Memedi Dzemil,Erlenstrasse 2,Erlenstrasse2,2555,Brügg BE,* 078 847 35 84,,
Menendez José,Bielstrasse 27,Bielstrasse27,2555,Brügg BE,032 373 55 12,,
Mensur Shoshi,Brachmattstrasse 11,Brachmattstrasse11,2555,Brügg BE,032 372 73 32,,
Messer Walter u. Chinh (-Lo),Industriestrasse 5,Industriestrasse5,2555,Brügg BE,032 373 19 59,,
Messerli Adrian,Pfeidstrasse 21,Pfeidstrasse21,2555,Brügg BE,032 373 25 29,,
Messerli Willy und Liska (-Grogg),Bielstrasse 60,Bielstrasse60,2555,Brügg BE,* 032 373 18 74,,
Messina Angelica,Bielstrasse 78c,Bielstrasse78c,2555,Brügg BE,032 373 45 81,,
Métry Inge,Erlenstrasse 1,Erlenstrasse1,2555,Brügg BE,* 032 373 34 75,,
Meuter Max (-Gäumann),Rosenweg 21,Rosenweg21,2555,Brügg BE,032 373 67 63,,
Meyer Christian und Heidi,Guinandstrasse 10,Guinandstrasse10,2555,Brügg BE,* 032 372 12 37,,
Meyer Doris,Orpundstrasse 30a,Orpundstrasse30a,2555,Brügg BE,* 032 341 31 53,,
Meyer Roger,Bielstrasse 54,Bielstrasse54,2555,Brügg BE,* 032 373 60 44,,
Meyer Veronika,Bärletweg 2,Bärletweg2,2555,Brügg BE,* 032 372 20 42,,
Meyer Tanner Ursula,Orpundstrasse 28,Orpundstrasse28,2555,Brügg BE,* 032 372 77 07,,
Michel Beat und Le Helley Michel Marie-Pierre,Rosenweg 2,Rosenweg2,2555,Brügg BE,* 032 341 36 58,,
Michellod Christophe et Aline (-Joder),Brachmattstrasse 13,Brachmattstrasse13,2555,Brügg BE,* 032 372 19 75,,
Migliori Stanislao,Rainstrasse 17,Rainstrasse17,2555,Brügg BE,* 032 372 16 38,,
Mischler Kurt,Bielstrasse 63,Bielstrasse63,2555,Brügg BE,* 032 373 45 40,,
Möckli Raymond,Erlenstrasse 1,Erlenstrasse1,2555,Brügg BE,* 032 373 21 62,,
Mohr Beat,Bielstrasse 84,Bielstrasse84,2555,Brügg BE,* 032 373 57 83,beat.mohr@bluewin.ch,
Mollet Jean-Pierre et Yvette (-Schoenenberger),Rainpark 15,Rainpark15,2555,Brügg BE,032 373 27 65,,
Mollet Peter und Isabelle (-Gerber),Kreuzgasse 3,Kreuzgasse3,2555,Brügg BE,* 032 373 12 75,,
Mollet Sylvia,Kreuzgasse 3,Kreuzgasse3,2555,Brügg BE,* 032 373 21 75,,
Montavon Patrick,Erlenstrasse 8,Erlenstrasse8,2555,Brügg BE,032 505 30 88,,
Morand Magdalena (-Eichenberger),Gottstattstrasse 3,Gottstattstrasse3,2555,Brügg BE,032 373 34 19,,
Möri André,Guinandstrasse 24,Guinandstrasse24,2555,Brügg BE,* 079 684 79 87,,
Möri Hanspeter u. Maria-Christina,Rosenweg 8,Rosenweg8,2555,Brügg BE,* 032 373 23 32,,
Morjen Patricia (-Wenger),Guinandstrasse 4,Guinandstrasse4,2555,Brügg BE,* 032 372 73 16,,
Moser Therese,Brachmattstrasse 1,Brachmattstrasse1,2555,Brügg BE,032 373 21 59,,
Moskic Srecko,Pfeidstrasse 17,Pfeidstrasse17,2555,Brügg BE,032 372 71 33,,
Muccia Melanie,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,* 032 372 76 56,,
Mühlemann Frieda (-Hediger),Aarestrasse 13,Aarestrasse13,2555,Brügg BE,* 077 456 59 16,,
Mühlethaler Urs,Burgersriedstrasse 11,Burgersriedstrasse11,2555,Brügg BE,* 078 891 08 88,,
Mühlheim Hans und Susanne (-Jann),Obergasse 20,Obergasse20,2555,Brügg BE,* 032 373 33 82,,
Müller Ernst und Doris (-du Toit),Erlenstrasse 5,Erlenstrasse5,2555,Brügg BE,* 032 373 27 23,,
Müller Heinz,Klosterstrasse 13,Klosterstrasse13,2555,Brügg BE,* 061 261 53 04,,
Müller Heinz und Eliane (-Emery),Rainpark 16,Rainpark16,2555,Brügg BE,* 079 501 09 73,,
Müller Monika,Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,* 032 365 78 58,,
Mutti Walter und Marie-Louise (-Gloor),Orpundstrasse 28,Orpundstrasse28,2555,Brügg BE,* 032 373 68 13,,
Naef Annelise,Obergasse 4,Obergasse4,2555,Brügg BE,079 374 53 71,,
Nenadic Mira,Bärletweg 5,Bärletweg5,2555,Brügg BE,032 373 18 07,,
Neuhaus Nico,Obergasse 21,Obergasse21,2555,Brügg BE,032 373 62 22,,
Neuherz Adolf (-Huber),Friedhofweg 7,Friedhofweg7,2555,Brügg BE,* 032 373 27 68,,
Neuherz Markus und Doris (-Bühler),Waldeckstrasse 3,Waldeckstrasse3,2555,Brügg BE,* 032 373 17 64,,
Neumeyer Josefine,Brachmattstrasse 1,Brachmattstrasse1,2555,Brügg BE,* 032 373 46 61,,
Neziri Zabit,Gartenweg 5,Gartenweg5,2555,Brügg BE,* 032 373 10 72,,
Nicolet Chantal,Erlenstrasse 5,Erlenstrasse5,2555,Brügg BE,* 032 373 46 55,,
Nicotera Rosario,Brachmattstrasse 11B,Brachmattstrasse11B,2555,Brügg BE,* 032 373 32 42,,
Nikles Fritz,Industriestrasse 4a,Industriestrasse4a,2555,Brügg BE,032 373 26 86,,
Nikolic Dobrosav,Erlenstrasse 2,Erlenstrasse2,2555,Brügg BE,032 373 24 66,,
Nikolic Tanja,Friedhofweg 3,Friedhofweg3,2555,Brügg BE,* 078 880 52 07,,
Dr. Nilles Klaus,Haldenstrasse 35,Haldenstrasse35,2555,Brügg BE,* 032 373 31 21,,
Nobs Theo und Monika (-Wettenschwiler),Rebhalde 1,Rebhalde1,2555,Brügg BE,* 032 373 64 38,,
Nsiri Mohamed,Kreuzgasse 21,Kreuzgasse21,2555,Brügg BE,* 079 323 83 16,,
Nussbaum Lilo,Neubrückstrasse 32,Neubrückstrasse32,2555,Brügg BE,032 373 19 26,,
Nussbaum Marianne,Orpundstrasse 11c,Orpundstrasse11c,2555,Brügg BE,032 373 39 50,,
Nydegger Bruno,Mattenstrasse 18,Mattenstrasse18,2555,Brügg BE,* 032 372 75 05,,
Nydegger Estela,Pfeidstrasse 13,Pfeidstrasse13,2555,Brügg BE,* 032 373 68 15,,
Nyfeler Erika,Obergasse 15,Obergasse15,2555,Brügg BE,032 373 55 19,,
Obergsell Heinz (-Bütikofer),Pfeidstrasse 8,Pfeidstrasse8,2555,Brügg BE,032 373 27 40,,
Ochsner Heinz,Guinandstrasse 48,Guinandstrasse48,2555,Brügg BE,* 032 372 17 14,,
Oesch Antoine et Valérie (-Hofmann),Obergasse 16,Obergasse16,2555,Brügg BE,* 032 372 10 24,,
Ong Ngoc Dung,Mattenstrasse 1,Mattenstrasse1,2555,Brügg BE,032 373 40 37,,
Oppliger Heinz und Heidi (-Wenger),Hauptstrasse 7,Hauptstrasse7,2555,Brügg BE,* 032 373 47 67,,
Oppliger Peter u. Béatrice (-Aebischer),Rainstrasse 30,Rainstrasse30,2555,Brügg BE,* 032 372 15 92,,
Paladino Salvator,Bielstrasse 45,Bielstrasse45,2555,Brügg BE,032 365 36 71,,
Palma Monique Charlotte,Hauptstrasse 12A,Hauptstrasse12A,2555,Brügg BE,* 032 481 10 93,,
Paola Silvana u. Cesare,Friedhofweg 23,Friedhofweg23,2555,Brügg BE,032 373 29 62,,
Paramalingam Thayananthan,Mattenstrasse 18,Mattenstrasse18,2555,Brügg BE,032 373 32 48,,
Pauli Colette,Haldenstrasse 10,Haldenstrasse10,2555,Brügg BE,* 032 365 50 54,,
Pereira Schenkel René,Schulstrasse 5,Schulstrasse5,2555,Brügg BE,* 032 373 32 74,,
Perret Barbara Elisabeth Gert,Eschenweg 7,Eschenweg7,2555,Brügg BE,* 032 373 53 26,,
Pesenti Nelly Elsa (-Röthlisberger),Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,* 032 341 19 68,,
Peter Beate und Jürg,Orpundstrasse 26A,Orpundstrasse26A,2555,Brügg BE,* 032 355 35 72,,
Peter Daniel,Haldenstrasse 20a,Haldenstrasse20a,2555,Brügg BE,* 032 373 51 05,,
Petterino Franco und Andrea (-Stamm),Rainpark 2,Rainpark2,2555,Brügg BE,* 032 373 39 87,,
Pfeiffer Rosmarie,Pfeidstrasse 25,Pfeidstrasse25,2555,Brügg BE,* 032 372 13 54,,
Pfister Gerhard,Rosenweg 17,Rosenweg17,2555,Brügg BE,* 076 404 11 12,,
Pfister Stefan und Beatrice (-Wäfler),Hofmatt 2,Hofmatt2,2555,Brügg BE,032 373 56 60,,
Pfuch Susan,Dahlienweg 4,Dahlienweg4,2555,Brügg BE,032 372 15 23,,
Pineda Max und Florinda (-Montes),Gummenstrasse 24,Gummenstrasse24,2555,Brügg BE,* 032 342 38 80,,
Pletscher Hans und Victorina (-Sandi),Sonnhalde 5,Sonnhalde5,2555,Brügg BE,* 032 373 48 89,,
Popovic Zavisa,Bielstrasse 34,Bielstrasse34,2555,Brügg BE,* 032 365 42 84,,
Portmann Alfred,Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,032 331 68 79,,
Portmann Hanspeter,Poststrasse 2,Poststrasse2,2555,Brügg BE,032 373 33 02,,
Probst A. (-Röthlisberger),Chaletweg 9,Chaletweg9,2555,Brügg BE,* 079 630 36 57,,
Probst Charles (-Stauffer),Chaletweg 9,Chaletweg9,2555,Brügg BE,* 032 373 50 87,,
Probst Daniel,Rebhalde 13A,Rebhalde13A,2555,Brügg BE,* 032 373 25 51,,
Probst René und Elisabeth,Rebhalde 18,Rebhalde18,2555,Brügg BE,032 373 15 43,,
Probst Suzanne,Guinandstrasse 30,Guinandstrasse30,2555,Brügg BE,032 365 66 41,,
Procopio Rosetta,Erlenstrasse 4,Erlenstrasse4,2555,Brügg BE,032 373 40 77,,
Prum Chantha,Pfeidstrasse 15,Pfeidstrasse15,2555,Brügg BE,032 373 36 82,,
Quaglia Naomi,Bielstrasse 64,Bielstrasse64,2555,Brügg BE,* 079 109 74 70,,
Quirici Peter und Pattarin,Bärletweg 2,Bärletweg2,2555,Brügg BE,* 032 357 11 12,,
Racine Robert u. Elsbeth,Orpundstrasse 17,Orpundstrasse17,2555,Brügg BE,032 373 12 68,,
Raclé Pia,Aarestrasse 11,Aarestrasse11,2555,Brügg BE,032 373 63 51,,
Radelfinger Hans-Rudolf und Silvia,Guinandstrasse 42,Guinandstrasse42,2555,Brügg BE,* 032 351 52 24,,
Radice Giuseppe,Hauptstrasse 24,Hauptstrasse24,2555,Brügg BE,032 373 20 16,,
Rados Stipan,Aarestrasse 9,Aarestrasse9,2555,Brügg BE,032 373 42 45,,
Rajic Daisy (-Hlubna),Burgersriedstrasse 29,Burgersriedstrasse29,2555,Brügg BE,* 032 373 29 57,,
Rapold Peter,Friedhofweg 25,Friedhofweg25,2555,Brügg BE,* 032 373 26 73,,
Rasiah Chandran,Aarestrasse 11,Aarestrasse11,2555,Brügg BE,032 373 27 35,,
Rasori Maurizio und Rosmarie,Waldeckstrasse 5,Waldeckstrasse5,2555,Brügg BE,032 373 45 44,,
Rast J. Béat,Brachmattstrasse 12,Brachmattstrasse12,2555,Brügg BE,* 032 373 52 22,,
Rasuli Mohamad,Erlenstrasse 1,Erlenstrasse1,2555,Brügg BE,* 032 372 75 38,,
Rawyler Anna,Rainstrasse 34,Rainstrasse34,2555,Brügg BE,* 032 372 76 37,,
Rawyler Beatrice,Bärletweg 10,Bärletweg10,2555,Brügg BE,* 032 372 10 54,,
Rawyler Bruno,Haldenstrasse 32,Haldenstrasse32,2555,Brügg BE,* 032 373 36 91,,
Rawyler Daisy und Hans-U. (-Hanf),Obergasse 21,Obergasse21,2555,Brügg BE,032 373 35 17,,
Rawyler Elisabeth,Bielstrasse 30,Bielstrasse30,2555,Brügg BE,032 373 31 17,,
Rawyler Erica,Bielstrasse 49a,Bielstrasse49a,2555,Brügg BE,* 032 373 20 62,,
Rawyler Françoise,Industriestrasse 3,Industriestrasse3,2555,Brügg BE,032 373 46 30,,
Rawyler Fred und Theres (-Schreiber),Bärletweg 30,Bärletweg30,2555,Brügg BE,* 032 373 23 55,,
Rawyler Hans (-Christen),Mettgasse 14,Mettgasse14,2555,Brügg BE,032 373 17 68,,
Rawyler Hans-Rudolf und Ursula (-Scheidegger),Rainpark 7,Rainpark7,2555,Brügg BE,* 032 373 28 62,,
Rawyler Heidi (-Glauser),Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,* 032 373 18 30,,
Rawyler René (-Zimmermann),Bielstrasse 25,Bielstrasse25,2555,Brügg BE,* 032 373 35 32,,
Rawyler Rudolf u. Lydia (-Furer),Kreuzgasse 12,Kreuzgasse12,2555,Brügg BE,* 032 373 33 27,,
Reber Marie-Louise (-Hitz),Rebhalde 4,Rebhalde4,2555,Brügg BE,032 373 45 24,,
Reber Priska,Neubrückstrasse 20,Neubrückstrasse20,2555,Brügg BE,032 373 55 32,,
Recchia Antonio,Brachmattstrasse 4,Brachmattstrasse4,2555,Brügg BE,032 373 23 67,,
Redmond Anita,Guinandstrasse 10,Guinandstrasse10,2555,Brügg BE,* 032 365 73 12,,
Reinhard Erich,Chaletweg 5,Chaletweg5,2555,Brügg BE,032 373 23 56,,
Reinhard Hans (-Zysset),Chaletweg 7,Chaletweg7,2555,Brügg BE,032 373 40 58,,
Reis Caracol Isabel (-Santos),Erlenstrasse 10,Erlenstrasse10,2555,Brügg BE,032 373 61 29,,
Reist Bettina,Erlenstrasse 1,Erlenstrasse1,2555,Brügg BE,* 032 372 74 79,,
Reist Erna (-Zbinden),Rainpark 4,Rainpark4,2555,Brügg BE,032 373 10 04,,
Remund Zbinden Regula,Burgersriedstrasse 5,Burgersriedstrasse5,2555,Brügg BE,032 389 52 33,,
Renatus Isabella und Peter (-Lasser),Rainstrasse 6,Rainstrasse6,2555,Brügg BE,* 079 279 31 50,renatus@datacomm.ch,
Rey Kühntopf Edith,Brachmattstrasse 11A,Brachmattstrasse11A,2555,Brügg BE,032 372 71 58,,
Richard Fredy (-Kohler),Pfeidstrasse 8,Pfeidstrasse8,2555,Brügg BE,* 032 373 35 54,,
Richard Marcel,Neubrückstrasse 20,Neubrückstrasse20,2555,Brügg BE,032 373 46 60,,
Riedo Jean-Claude und Karin (-Stämpfli),Ahornweg 23,Ahornweg23,2555,Brügg BE,* 032 341 27 30,,
Rieger Irene,Erlenstrasse 5,Erlenstrasse5,2555,Brügg BE,032 373 37 32,,
Rieker Michel,Neubrückstrasse 26,Neubrückstrasse26,2555,Brügg BE,032 373 24 71,,
Rieker Michel,Friedhofweg 6,Friedhofweg6,2555,Brügg BE,032 373 23 91,,
Riess Bruno,Pfeidstrasse 15,Pfeidstrasse15,2555,Brügg BE,* 032 372 21 87,,
Rime Marcel,Brachmattstrasse 27,Brachmattstrasse27,2555,Brügg BE,032 373 47 38,,
Ritter Hans (-Kremser),Ahornweg 9,Ahornweg9,2555,Brügg BE,* 032 373 16 77,,
Ritter Klaus,Rainpark 16,Rainpark16,2555,Brügg BE,* 079 372 38 15,,
Robinson Michael,Brachmattstrasse 4,Brachmattstrasse4,2555,Brügg BE,* 079 208 21 48,,
Rodrigues Kessler Ana Paula und Jörg,Mattenstrasse 18,Mattenstrasse18,2555,Brügg BE,* 032 372 79 21,,
Rolli Walter und Liselotte (-Bernet),Mühleweg 1,Mühleweg1,2555,Brügg BE,* 032 372 21 89,,
Româo Manuel José,Industriestrasse 4b,Industriestrasse4b,2555,Brügg BE,* 032 373 51 20,,
Römer Jan und Maja,Brachmattstrasse 11b,Brachmattstrasse11b,2555,Brügg BE,* 032 373 22 02,,
Röösli Hans-Rudolf,Brachmattstrasse 27,Brachmattstrasse27,2555,Brügg BE,* 032 373 49 09,,
Rosa Amadeus,Gottstattstrasse 1,Gottstattstrasse1,2555,Brügg BE,* 032 384 42 23,,
Rösch Jonas,Sonnhalde 10,Sonnhalde10,2555,Brügg BE,* 079 512 79 60,,
Rosenberg Barbara,Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,* 032 373 27 19,,
Rossel Bastian und Valérie (-Roth),Rebhalde 2,Rebhalde2,2555,Brügg BE,* 079 829 67 28,,
Röthlisberger Christoph und Patrizia (-Scherrer),Guinandstrasse 46,Guinandstrasse46,2555,Brügg BE,* 032 331 89 35,,
Röthlisberger Nicolas,Brachmattstrasse 11A,Brachmattstrasse11A,2555,Brügg BE,* 079 588 14 68,,
Röthlisberger Paul und Dora (-Allemann),Haldenstrasse 34,Haldenstrasse34,2555,Brügg BE,* 032 373 49 13,,
Röthlisberger Geissbühler Regula,Brachmattstrasse 12,Brachmattstrasse12,2555,Brügg BE,* 032 373 50 10,,
