titel;author;konferenz;veranstaltungstitel;zeitschrift;datum;Tweet Datum;Tweet
Wie weit und bereit sind Unternehmen mit Enterprise 2.0 - Ergebnisse einer Reifegradstudie im deutschsprachigen Raum.;Friedel, Dominik;null;null;null;28. Sep 11;2018-05-21 11:25:42+00:00;Alles schon mal gedacht und gesagt: In der Standford D School heisst es: There is only Make https://t.co/tXxoP0vek1… https://t.co/5C9gmVqFN4
Efficient And Ubiquitous Resource Allocation - Can Smartphones Improve Urban Traffic Flow Associated With Numerous Cars Searching For Parking Spaces?;Fiechter, Daniel;null;null;null;02. Okt 13;2018-05-21 11:18:46+00:00;Neulich auf dem Titelblatt des St.Galler Tagblatts: Der Gaukler ist eine Frau! So weit sind sie in Milano noch nich… https://t.co/s5oflko4Ee
Die praktische Umsetzung von Blended-Learning-Angeboten in der betrieblichen Aus- und Weiterbildung.;Back, Andrea;null;"Forum ""Blended Learning"" der Frey Akademie";null;03. Apr 04;2018-04-04 12:24:33+00:00;14. Juni in St.Gallen: Eintauchen in Innovationsmethoden und Silicon Valley Atmosphäre: Top Workshop-Auswahl und -R… https://t.co/LCj6bSIbXI
Putting knowledge networks into action : a methodology for developing and maintaining Knowledge Networks.;;Springer;null;null;2005;2018-04-04 12:07:54+00:00;"AXA schreibt eine Stelle aus ""Strategic Assistant to CIO"" - für frisch Doktorierte als Karriereeinstieg gut geeigne… https://t.co/dPgtbE80Bc"
Beiträge des Balanced-Scorecard-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen.;Back, Andrea & Leithner, Barbara;null;null;Zeitschrift für Betriebswirtschaft;01. Mär 06;2018-03-29 21:47:25+00:00;Für die Kundenwünsche an Co-Living, gemäss Studie, gibt es noch keinen (grösseren) Anbieter. https://t.co/xExGASuekw
Critical Success Factors of Global Enterprise Resource Planning Programmes: An Empirical Model Based on Expert Interviews.;Seidel, Gunter & Back, Andrea;Aalto University, School of Economics;19th European Conference on Information Systems (ECIS) 2011;null;09. Jun 11;2018-03-24 23:04:09+00:00;Wie glaubwürdig ist das mit Hanna? Vor Mitternacht noch 4h arbeiten, nachdem die 3 Kinder im Bett sind, also spätes… https://t.co/pDWcW1jZWj
Success Factor Validation for Global ERP Programmes.;Seidel, Gunter & Back, Andrea;Università di Verona, Facoltà di Economia, Departimento de Economia Aziendale;17th European Conference on Information Systems (ECIS) 2009;null;08. Jun 09;2018-03-20 14:29:34+00:00;"My assumption would have been that ""Lack of clear question"" (including basic fit of question-data) ranks top. https://t.co/9EZQpjclAK"
Shadow IT - A view from behind the curtain.;Silic, Mario & Back, Andrea;Elsevier;null;Computers & Security;01. Sep 14;2018-03-19 08:10:26+00:00;Treffende Assoziation. Hilft, Uhren mit anderen Augen zu sehen. Wünsche mir ein Kunstwerk, das Blick auf den Smartp… https://t.co/zRpW4h2JIL
Corporate E-Learning: Strategic Issues.;Back, Andrea;null;Vortrag am Graduiertenkolleg New Media in Education;null;01. Jun 01;2018-03-18 20:56:40+00:00;Abfallkübel können auch schön sein (Playa las Canteras). Wer würde noch sagen: zeigt her eure... https://t.co/96r95uCyBu
Beiträge der Balanced Scorecard für ein nachhaltiges E-Learning im Unternehmen.;Leithner, Barbara & Back, Andrea;Institut für Wirtschaftsinformatik;null;null;01. Apr 04;2018-03-18 20:51:22+00:00;Looking forward to study all the other assembly instructions, thx https://t.co/EqOdOgzyG2
Elicitation of Requirements for the Design of Mobile Financial Advisory Services - Instantiation and Validation of the Requirement Data Model with a Multi-method Approach.;Ruf, Christian;null;null;null;04. Jan 15;2018-03-16 11:03:26+00:00;Well said. Just want to add that as a teacher interacting with students that do not need 'help' is part of the Pers… https://t.co/UGCIF0TxaY
Podcasting.;Haentschel-erhart, Irene;Oldenbourg;null;null;2008;2018-03-14 16:48:31+00:00;"Dieser Bedarf und Top Prio von ""Soft Skills Development"" macht mich stutzig. Fängt das nicht in der Kinderstube an?… https://t.co/OB9PA6eflz"
Arbeitsplatz der Zukunft, Innovationsvortrag.;Back, Andrea;null;Bereichstag Regionalvertrieb der Datev e.G.;null;28. Okt 10;2018-03-14 16:37:12+00:00;Dafür nehme ich mir Lesezeit und mache mir Gedanken, was genau daran Qualitätsjournalismus erkennen lässt. https://t.co/4DHGId5Je9
Beiträge des Balanced-Scorecard-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen.;Back, Andrea & Leithner, Barbara;Physica-Verlag;null;null;2005;2018-03-03 15:49:43+00:00;An Scheibe von Leerstandfläche in der Stadt. Das ist wohl Marketing ... wenn man für Aussage nicht einstehen muss. https://t.co/u36sKgapie
Teamarbeit 2.0: Global - zeitgemäss - kompetent.;Back, Andrea;null;DATEV-Kongress 2012;null;07. Sep 12;2018-02-18 13:32:07+00:00;"Beyond Coding: ""With advances in machine leaning and deep neural networks, we won’t be issuing orders (Anm. aka ""co… https://t.co/ZnZct9oHTk"
Sind Sie up-to-date? Übersicht über moderne Kommunikationsmittel und ihre praktische Anwendung.;Back, Andrea;null;Akte 07 Symposium Know-how Transfer und angwandtes E-Learning im öffentlichen Dienst;null;10. Mai 07;2018-02-18 13:32:07+00:00;"Beyond Coding: ""With advances in machine leaning and deep neural networks, we won’t be issuing orders (Anm. aka ""co… https://t.co/ZnZct9oHTk"
E-Learning Balanced Scorecard.;Back, Andrea;null;5. IT-Kongress der Know How! AG;null;23. Mär 04;2018-02-18 13:30:03+00:00;"Schöner Schlusssatz ""The coming age of automation means, in order to thrive in the workplace, we must become more h… https://t.co/pK17m6bTw5"
Stossrichtungen für Kundenbeziehungen in Web-2.0-Kultur.;Back, Andrea;null;7. IT-Anlass Helsana;null;20. Nov 09;2018-02-17 18:18:12+00:00;Ikigai - durchaus gut für Selbstreflexion. Aber ob da nicht nochmal ein anderer Übersetzer ran müsste? Zweifle an d… https://t.co/ozaGl5HNXj
Zum Verhältnis von eLearning und Wissensmanagement in Unternehmen.;Back, Andrea;null;GI-Jahrestagung;null;01. Okt 02;2018-02-10 09:15:38+00:00;und eine weitere Aussage daraus gefällt mir: “erst beim Machen wird klar, was Erfolg hat.“ https://t.co/gpmJvXvHBI
eCollaboration Goes Web 2.0 - Von den Basistechnologien zu den Trends effektiver verteilter Zusammenarbeit.;Back, Andrea;null;TelekomForum - KompetenzTag Collaboration;null;01. Feb 07;2018-02-09 21:51:27+00:00;"Wann fingen Entwickler an Programmieren zu lernen? Mehr als jeder 4te lang vorm Autofahren; + viel Interessantes me… https://t.co/jjP5z1eJlO"
Social Media: What is Social Media and how will Social Media change our future working environment.;Back, Andrea;null;Workshop Zurich Insurance Company;null;20. Aug 12;2018-02-02 18:35:14+00:00;"“on the last day all desks had been removed“ - auch Tische in Sitzungszimmern sind angezählt; na ja, eher mein wish… https://t.co/z9RPPG4l9O"
Reifegradmodelle im Management von Enterprise 2.0.;Back, Andrea;Bitkom;12. KnowTech 2010;null;15. Sep 10;2018-01-19 14:37:08+00:00;RT @hdcripps: If you #research in #socialmedia why submit a #Conference #paper to the @BledConference in Slovenia in June. https://t.co/QG4…
Workshop Virtual Academia: Developments in new technology platforms.;Back, Andrea;null;the 10th annual meeting CEMS (Community of European Management Schools);null;27. Nov 98;2018-01-19 14:34:56+00:00;Dann sind Schnellratesendungen mit Zeichnen von Begriffen a la Montagsmaler wohl weniger lustig #disruption https://t.co/q34UPKP3hG
From Suppliers to Complementors: Motivational Factors for Joining Industrial Internet of Things Platform Ecosystems.;Marheine, Christian;null;null;null;Jan 21;2018-01-19 13:45:33+00:00;Btw: Bewegungstrio, fällt mir auf. DB bewegt trotz Sturm pünktlich! @DB_Kritik - und super kundenfreundlicher Zugbe… https://t.co/6uOzwGBvl5
Interview zu E-Learning im Unternehmen im Learntec-Studio.;Back, Andrea;null;Learntec vom 06.02. bis 08.02.02;null;06. Feb 02;2018-01-19 13:22:46+00:00;Who already addressed teaching teens to create software 2.0? I am interested for smartfeld @STARTFELD https://t.co/2BBtzL4snN
Coworking aus Unternehmenssicht II: Out of Office – into the Flow?;Josef, Barbara;null;null;null;Jan 19;2018-01-19 13:08:18+00:00;RT @khanlabschool: Reading about issues impacting people around the world helps students develop more #empathy, as well as a healthy habit…
Einführung in das Thema.;Back, Andrea;null;"Seminar ""Weblogs, Wikis, Podcasts & Co. - Wissenstransfer der nächsten Generation""";null;25. Okt 07;2018-01-19 12:52:33+00:00;RT @lysander07: Dear colleagues, do you still invest in time consuming reviewing work (of course for free) for non #openaccess journals, su…
Von einer, die auszog, in der Cloud zu arbeiten: Ein Erfahrungsbericht ….;Back, Andrea;null;ASUT Seminar;null;09. Jun 11;2018-01-10 21:48:36+00:00;"Unfortunately, ""learning"" is the oldest excuse in the book for a failure of execution. @ericries in Lean Startup, p… https://t.co/PPVrTNfKZu"
The New Window to Athlete’s Soul – What Social Media Tells Us About Athletes’ Performances.;Grüttner, Arne;null;null;null;07. Jan 20;2018-01-10 17:19:47+00:00;Hmm - wie klingt diese Formulierung? Mit digitalen Mitteln kreativ sein, digital designen? (statt Programmierkurs m… https://t.co/ydBeTC7i6D
Effects of Color Appeal, Perceived Risk and Culture on User’s Decision in Presence of Warning Banner Message.;Silic, Mario;null;null;null;07. Jan 17;2018-01-09 14:44:18+00:00;“Stress durch Fremdüberfrachtung“, treffend formuliert: DD308: Und jährlich grüßt der Schweinehund https://t.co/I2xCs6CTlc
Lean & agil: Social-Software.;Back, Andrea;IDG Communications;null;Computerworld.ch;20. Mai 14;2018-01-08 17:44:04+00:00;Gerade tolles Kundenerlebnis gehabt mit leitendem Mitarbeiter von @commerzbank. Mein Problem gelöst/beantwortet, ob… https://t.co/Qr7jnQ5Gtx
Der rechte Umgang mit Stakeholdern.;Back, Andrea;null;SCIL Congress;null;08. Okt 03;2018-01-01 15:49:31+00:00;"Buch ""Homo Deus"" - gelesen und als Thema vergeben - nun als Pecha Kucha Präsentation der Studentin, die es auch seh… https://t.co/LtGr5sNICG"
Corporate E-Learning: Disruptive Innovation auf der Überholspur?;Back, Andrea;Vogel IT-Medien;null;IT-Business;01. Mär 09;2018-01-01 12:26:06+00:00;"Epochen der Bürogestaltung: 2000s: Coffee Shops and fun; 2010s: Biophilia and collaboration - https://t.co/KyTzldFpAq"
Website Usability for Internet Banking.;Zollet, Roman & Back, Andrea;null;"23rd Bled eConference ""eTrust: Implications for the Individual, Enterprises and Society""";null;20. Jun 10;2017-12-31 10:05:26+00:00;Experiment: Heute in der Silvesternacht gibt es mal einen langen Spaziergang bis Mitternacht, statt ein Sitz-Dinner. https://t.co/SIjuCEputl
Knowledge Networking: Von der Vision zum Business Case.;Back, Andrea;null;"Symposium ""Wenn Ihre Firma wüsste, was Ihre Firma weiss: Knowledge Management / Business Intelligence""";null;01. Jan 00;2017-12-31 09:58:54+00:00;Anregungen für effektive Kommunikation - Crafting Contagious Content  (Eselsbrücke STEPPS) https://t.co/53SUTcuMho
Qualitative und ökonomische Potenziale der Einführung eines LMS in der Credit Suisse.;Bendel, Oliver;null;null;null;01. Jun 01;2017-12-31 09:58:54+00:00;Anregungen für effektive Kommunikation - Crafting Contagious Content  (Eselsbrücke STEPPS) https://t.co/53SUTcuMho
Mobile First auch in Beratungsprozessen des Private Banking? Entwicklung und Validierung einer iPad-Applikation.;Ruf, Christian;null;null;null;Mär 16;2017-12-19 16:40:55+00:00;Ein Guinness World Record? Habe eine Primarschulklasse mit über 400 Kindern unterrichtet. Meine Kolumne dazu ist fa… https://t.co/p59RwJ3IuH
E-Meetings im Überblick: Eine Einführung.;Back, Andrea;null;E-Meetings in die Arbeits- und Lernkultur integrieren, Seminar Learning Center;null;08. Mai 03;2017-12-18 09:19:42+00:00;Mal wieder das Toolset für die persönliche Arbeitspraxis reflektieren? Gute Infografik für Self-Check: https://t.co/qgypqS84I3.
Ich bin drin - im Web 2.0! Meine Arbeitspraxis 2.0.;Back, Andrea;null;Tag der Informatik an der Christian-Albrechts-Universität Kiel;null;02. Dez 11;2017-12-16 20:31:56+00:00;Tolle Aussichten: Fernbedienung u.a. ohne Elektronik/Batterien/Strom. Video Minute 2:30: https://t.co/oGRb0NrKnZ vi… https://t.co/NkL1MzdKUe
Web-based Open Innovation: Wie Online-Gemeinschaften Dienstleistungen, Produkte und Wissen produzieren.;Back, Andrea;null;Edu Media Fachtagung;null;05. Mai 09;2017-12-16 20:20:13+00:00;"Erhellendes zu Blockchain in kurzem Artikel: ""A technology that sacrifices cost, speed, privacy, predictability"". G… https://t.co/y3HkCMqb15"
A methodology for adapting Knowledge Networks - managerial guidelines.;Enkel, Ellen;null;null;null;2007;2017-12-14 10:14:04+00:00;Warum mehr junge Leute was von Coding verstehen sollten? Nicht vor allem um den Beruf Programmierer/in zu ergreifen… https://t.co/rH9sffC3o5
Supporting Business Processes through Knowledge Management - A Technology-based Analysis.;Raimann, Joerg;null;null;null;17. Mär 00;2017-12-14 10:05:05+00:00;@jstuker Hmm, there is more to disagree with. How come that (still) mens world/life view dominates charts like thes… https://t.co/W1sOrxPtev
Web 2.0 in der Unternehmenspraxis: Grundlagen, Fallstudien und Trends zum Einsatz von Social Software.;Social-Software-Anwendungen wie Wikis, Weblogs oder Social-Networking-Plattformen sind ein integraler Bestandteil der Weiterentwicklung des Internets, des vielzitierten Web 2.0. Zur Nutzung kommen diese Anwendungen aus dem Bedürfnis heraus, Wissen zu sammeln, bereitzustellen und zu verteilen bzw. Communities aufzubauen und ihnen Raum zum Austausch zu geben. Worin liegt nun aber der praktische Nutzen des Web 2.0 für Unternehmen? Im Rahmen dieses Buches nähern sich rund 30 Autoren aus Wissenschaft und Praxis der Beantwortung dieser Frage. Im Einführungsteil folgt einer Auseinandersetzung mit den Begriffen Web 2.0 und Social Software die nähere Erläuterung der unterschiedlichen Social-Software-Anwendungen wie Wikis, Weblogs oder Social Bookmarking. Im darauf folgenden Abschnitt rücken die Potenziale der Anwendung in Unternehmen und die Wissensarbeiter als Nutzer in den Fokus. Beantwortet werden Fragen wie die nach der notwendigen Unternehmenskultur und wichtigen Kompetenzen, um effizient mit Social Software im Unternehmen arbeiten zu können. Auch die Einführung solcher Anwendungen im Unternehmen wird thematisiert. Der dritte Teil des Buches enthält acht konkrete und umfangreich beschriebene Anwendungsfälle aus grossen und kleinen Unternehmen wie z.B. IBM, Deutsche Bahn, Opel, SUN Microsystems und der PSI AG. Im abschliessenden Teil werden zukünftige Entwicklungen und Visionen thematisiert. Das Buch liefert auf diese Weise sowohl Einsteigern in das Thema als auch Fortgeschrittenen zahlreiche wertvolle Anregungen zur gewinnbringenden Nutzung von Web-2.0-Applikationen in den täglichen Geschäftsprozessen von Unternehmen.;Oldenbourg;null;null;2008;2017-12-11 20:10:52+00:00;RT @barbarajosef: Ready for #Coding für Kids im @STARTFELD St. Gallen mit @HSGStGallen Studierenden im Rahmen einer Vorlesung bei @ABack vo…
E-Learning im Unternehmen.;Back, Andrea;Oldenbourg;null;null;2008;2017-12-10 18:16:00+00:00;Interessantes Thema, nicht nur für kritische Leser aus Austria, bei https://t.co/csYdwLo6Wo.
Strategische Ausrichtung von E-Learning.;Back, Andrea;null;KMU-Wissen: Weiterbildung Online;null;01. Okt 03;2017-12-01 18:10:06+00:00;Man könnte einfach »Software« sagen, aber das klingt eben nicht so sinister wie »Algorithmus«. Lesenswert. Artikel… https://t.co/XWHbhHdU9a
Entscheidungsunterstützungssysteme.;Back, Andrea;Schäffer-Poeschel;null;null;2002;2017-11-27 09:37:51+00:00;@andyloris Sind Sie der Andrin von der Kinderuni? Bitte wegen Ihrer Frage gerne email senden an andrea.back@unisg.ch
Veni - VIDEO - Vici: Videobasiertes eLearning auf dem Siegeszug 2.0.;Back, Andrea;null;null;Jahrbuch eLearning & Wissensmanagement 2009/2010, eLearning Quo vadis?;01. Aug 09;2017-11-13 21:35:09+00:00;RT @Isarmatrose: Warum wird vor dem Hintergrund der Digitalisierung immer so getan, als ob Menschen unselbständig und nicht anpassungsfähig…
Chief-Learning-Officer-Projektagenda 200x.;Back, Andrea;null;GI-Jahrestagung, Oktober 2002;null;01. Okt 02;2017-11-12 18:07:49+00:00;Mit agiler Innovation zu Next Generation Mobile Business - Studienkeynote 6. ... by @ABack #agile https://t.co/eOMtR4cVu7 via @SlideShare
Determination of Enterprise 2.0 Development Levels with a Maturity Model.;Friedel, Dominik & Back, Andrea;IADIS Press;IADIS Multi Conference on Computer Science and Information Systems (MCCSIS 2012);null;17 July 2012;2017-11-10 12:09:38+00:00;"RT @stadtnomadin: Our research paper ""Disentangling the Fuzzy Front End of Digital Transformation: Activities and Approaches"" is now availa…"
Impact of Gamification on User’s Knowledge-Sharing Practices:Relationships between Work Motivation, Performance Expectancy and Work Engagement.;Silic, Mario & Back, Andrea;Proceedings of the 50th Annual Hawaii International Conference on System Sciences (HICSS);50th Hawaii International Conference on Sciences (HICSS);null;07. Jan 17;2017-11-05 12:49:39+00:00;Auch im Weltraum gibt es noch kein papierloses Büro, Raumstation ISS kriegt, nach 17J., neue Drucker https://t.co/gV8gRDAv2B via @Mashable
Szenario Bildungslandschaft 2005.;Back, Andrea;null;null;Informatik/Informatique;01. Jan 98;2017-11-01 19:58:31+00:00;@RosanBosch Your website says that you published three books - where to find them?
Vom Firmenhauptsitz ins Telecottage.;Back, Andrea & Schuka, Oliver;null;null;Output Focus;01. Jan 96;2017-10-31 06:05:00+00:00;Vergisst man leicht, obwohl man es ja weiss, in der Begeisterung für die eigene/n Ideen. https://t.co/qW3FN2hxVE
