web-scraper-order;Publikation (Autoren, Jahr, Titel, Journal/Konferenz)
1647018432-4116;"Back, Andrea:
	Web-based Open Innovation - Wie Online-Gemeinschaften Dienstleistungen, Produkte und Wissen mitgestalten.
    	In  
    	Hornung-Praehauser, Veronika & Luckmann, Michaela (ed.): 
    	Kreativität und Innovationskompetenz im digitalen Netz : Sammlung von ausgewählten Fach- und Praxisbeiträgen der 5. EduMedia Fachtagung 2009. Salzburg, 4. - 5. Mai 2009. 
	Salzburg :
	Salzburg Research Forschungsgesellschaft,
	2009,
	S. 89-94."
1647018432-4397;"Back, Andrea:
	eLearning als Herausforderung für die Personal- und Organisationsentwicklung.
	Symposium ""eLearning für Finanzdienstleister"".
	Stuttgart,
	17 July 2001."
1647018432-4126;"Heidecke, Florian; Mayrhofer, David; Schiesser, Andreas & Back, Andrea:
	Organisation des Aussendiensttrainings in der Pharma-Branche: Entwicklung eines Referenzmodells mittels Fallstudienforschung.
    	In  
    	Breitner, Michael H.; Bruns, Beate & Lehner, Franz (ed.): 
    	Neue Trends im E-Learning : Aspekte der Betriebswirtschaftslehre und Informatik. 
	Heidelberg :
	Physica,
	2007,
	S. 181-196."
1647018432-4237;"Silic, Mario & Back, Andrea:
	Atos: Towards Zero Email Company.
	
	The Case Centre (UK),
	2015."
1647018432-4132;"Enkel, Ellen:
	Outlook: Beyond organizational boundaries - Knowledge Networks for Growth.
    	In  
    	Back, Andrea; Vonkrogh, Georg; Seufert, Andreas & Enkel, Ellen (ed.): 
    	Getting real about knowledge networks : unlocking corporate knowledge assets. 
	Basingstoke :
	Palgrave,
	2006,
	S. 221-239."
1647018432-4069;"Hain, Stefanie & Back, Andrea:
	Learning Journal - Weblogs in Academic Courses.
	2008.
	- 3rd International Conference on e-Learning.
	- Cape Town."
1647018432-4427;"Back, Andrea:
	Knowledge Management: Concepts and Technologies.
	Lotus Gold Seminar.
	Zürich,
	22 April 1998."
1647018432-3965;"Back, Andrea
 	(2001)
	Plato-Cookbook: Wie gestalte ich meinen Unterricht im Internet-Klassenzimmer?
	Forum,
	Vol. 21
	(Nr. 1).
	40-41."
1647018432-4190;"Bendel, Oliver; Schnoering, Katharina & Back, Andrea:
	Potenziale pädagogischer Agenten.
	Reihe Arbeitsberichte des Learning Center der Universität St. Gallen,
	2002,
	1/2002."
1647018432-4270;"Back, Andrea:
	Social Media in Universities.
	24th Bled eConference.
	Bled,
	14 June 2011."
1647018432-3992;"Back, Andrea & Grabher, K.
 	(1995)
	Groupware-Applikationen an der Universität St. Gallen.
	Informatik/Informatique,
	Vol. 2
	(6).
	26-28."
1647018432-3980;"Back, Andrea; Kramhoeller, S. & Seufert, Sabine
 	(1998)
	Technology enabled Management Education - Die Lernumgebung MBE Genius im Bereich Executive Study an der Universität St. Gallen.
	iomanagement,
	Vol. 21
	(3).
	36-42."
1647018432-4206;"Makarevitch, Alexei & Enkel, Ellen:
	Perspective for our partners: New Ventures: important concepts and theories.
	KnowledgeSource paper series,
	2001,
	Vol. 3. BE HSG/IWI 3 IfB No 31."
1647018432-4347;"Back, Andrea:
	Einführung.
	Knowledge Worker Productivity: Von Investitionen in Lernen und Wissen zu messbaren Geschäftsresultaten, Seminar Learning Center.
	Wallisellen,
	18 November 2004."
1647018432-4213;"Vassiliadis, Stefanos; Koehne, Marija; Seufert, Andreas; von Krogh, G. & Back, Andrea:
	Strategic Deployment of Networks for Knowledge Management: When to choose the Network Option.
	,
	2000,"
1647018432-4309;"Back, Andrea:
	Web-based Open Innovation: Wie Online-Gemeinschaften Dienstleistungen, Produkte und Wissen produzieren.
	Edu Media Fachtagung.
	Salzburg,
	5 May 2009."
1647018432-4288;"Back, Andrea:
	2.0 Upgradings in Project Management - Opportunities and Risks Through Wiki-Way- and (Micro)Blogging Practices.
	4th SAP Globalization Symposium 2010.
	
	21 June 2010."
1647018432-4123;"Back, Andrea:
	E-Learning strategisch verankern.
    	In  
    	Thom, Norbert & Zaugg, Robert J. (ed.): 
    	Moderne Personalentwicklung : Mitarbeiterpotenziale erkennen, entwickeln und fördern. 
	Wiesbaden :
	Gabler,
	2007,
	S. 205-226."
1647018432-3899;"Back, Andrea; Thoma, Sereina & Guggisberg, Vanessa
 	(2018)
	Management von digitalen Innovationen: Hat das Innovationstrichtermodell ausgedient?
	Wirtschaftsinformatik & Management : WuM,
	10
	(2).
	24-35.
	ISSN 1867-5905"
1647018432-4417;"Back, Andrea:
	Szenario Bildungslandschaft 2005.
	Fachtagung Web Based Training: Universelles Lernen an Fachhochschulen und Universitäten.
	Olten,
	22 April 1999."
1647018432-4101;"Back, Andrea & Ruf, Christian:
	Mobile Business.
    	In  
    	Hoffmann, Christian Pieter; Lennerts, Silke; Schmitz, Christian; Stölzle, Wolfgang & Uebernickel, Falk (ed.): 
    	Business Innovation: Das St.Galler Modell. 
	Wiesbaden :
	Springer Fachmedien Wiesbaden,
	2016,
	S. 357-381."
1647018432-3949;"Back, Andrea; Vonkrogh, Georg & Enkel, Ellen
 	(2007)
	The CC Model as Organizational Design Striving to Combine Relevance and Rigor.
	Systemic Practice and Action Research,
	20
	(1).
	91-103.
	ISSN 1094-429X"
1647018432-4386;"Back, Andrea:
	eLearning im Unternehmen: Lessons Learned und Erfahrungslücken.
	Learntec.
	Karlsruhe,
	7 February 2002."
1647018432-4334;"Back, Andrea:
	Trends im E-Learning - Chancen, die es zu nutzen gilt.
	akte 06 - Know-how Transfer und angewandtes e-Learning im Gesundheitswesen.
	Bern,
	20 October 2006."
1647018432-3966;"Raimann, Joerg & Back, Andrea
 	(2000)
	Software-Tools und Architekturmodell für das Wissensmanagement.
	ControllerNews: Die Zeitschrift für Controlling und Unternehmensführung,
	
	(Nr. 3).
	69-72."
1647018432-4410;"Back, Andrea:
	Technologie und Mensch im Wissensmanagement.
	2. Österreichischer Wissensmanagement-Kongress.
	Wien,
	21 March 2000."
1647018432-3940;"Back, Andrea
 	(2009)
	Veni - VIDEO - Vici: Videobasiertes eLearning auf dem Siegeszug 2.0.
	Jahrbuch eLearning & Wissensmanagement 2009/2010, eLearning Quo vadis?,
	
	
	44-49."
1647018432-4313;"Back, Andrea:
	The Emergence and Impact of Web 2.0.
	Focus on social media.
	Europäisches Patentamt, München,
	3 March 2009."
1647018432-3979;"Back, Andrea
 	(1998)
	Szenario Bildungslandschaft 2005.
	Informatik/Informatique,
	Vol. 5
	(6).
	27-29."
1647018432-4112;"Back, Andrea; Isenschmid, Christoph & Jastrowski, Wolfgang:
	Social Software Use-Cases in verschiedenen Geschäftsfunktionen bei Swiss Re.
    	In  
    	Back, Andrea; Gronau, Norbert & Tochtermann, Klaus (ed.): 
    	Web 2.0 und Social Media in der Unternehmenspraxis : Grundlagen, Anwendungen und Methoden mit zahlreichen Fallstudien. 
	München :
	Oldenbourg,
	2012,
	S. 239-251."
1647018432-4236;"Berghaus, Sabine & Back, Andrea:
	Wie packen Unternehmen die Digitale Transformation an? (Teil 1).
	
	T-Systems Multimedia Solutions GmbH,
	2016."
1647018432-4383;"Back, Andrea:
	Wissensmanagement.
	Kernprogramm Information Management, EMBA an der Universität Zürich.
	Zürich,
	13 March 2002."
1647018432-4144;"Bendel, Oliver:
	Avatar.
    	In  
    	Mertens, Peter & Back, Andrea (ed.): 
    	Lexikon der Wirtschaftsinformatik. 
	Berlin :
	Springer,
	2001,
	S. 60."
1647018432-3919;"Silic, Mario & Back, Andrea
 	(2014)
	Shadow IT - A view from behind the curtain.
	Computers & Security,
	45
	
	274-283.
	ISSN 0167-4048"
1647018432-4405;"Back, Andrea:
	Wissensmanagement und IT-Technologie - eine häufig missverstandene Beziehung.
	BMW Forum Zukunft.
	Regensburg,
	6 July 2000."
1647018432-3928;"Back, Andrea
 	(2012)
	Unternehmens-Wikis - wie ging das früher ohne?
	IT-Business,
	11
	(1).
	36-37.
	ISSN 1616-3532"
1647018432-4002;"Mörstedt, Nils G. & Back, Andrea:
    Steuerungstool des Board of Directors für Digitale Transformationsprojekte.
    [Conference or Workshop Item]"
1647018432-3905;"Silic, Mario & Back, Andrea
 	(2016)
	What are the Keys to a Successful Mobile Payment System? Case of Cytizi: Mobile Payment System.
	Journal of Global Information Management,
	24
	(3).
	1-20.
	ISSN 1062-7375"
1647018432-4390;"Back, Andrea:
	Basis-Workshop Wissensmanagement (WM).
	Wissensmanagement.
	Worblauben,
	5 October 2001."
1647018432-4231;"Back, Andrea & von Krogh, G.:
	Evaluation Report: Review of the Knowledge Management Activities in the Unilever Culinary Category.
	,
	1998,"
1647018432-4171;"Heidecke, Florian & Back, Andrea:
	Newsaggregatoren-Software - ein Marktüberblick.
	Arbeitsberichte des Learning Center der Universität St. Gallen,
	2007,
	1/2007."
